N° eqt,Pression Nominale Relative,Masse de Gaz,Rapport Masse/Pression
5001989626,3.3,21.0,6.363636363636364
5001989627,3.3,21.0,6.363636363636364
5001989628,3.3,107.0,32.42424242424243
5001989629,3.3,107.0,32.42424242424243
5001989630,3.3,107.0,32.42424242424243
5001989631,3.3,118.0,35.75757575757576
5001989632,3.3,118.0,35.75757575757576
5001989633,3.3,118.0,35.75757575757576
5001989634,3.3,17.0,5.151515151515151
5001989635,3.3,17.0,5.151515151515151
5001989636,3.3,17.0,5.151515151515151
5001989637,3.3,36.0,10.90909090909091
5001989638,3.3,36.0,10.90909090909091
5001989639,3.3,36.0,10.90909090909091
5001989640,3.3,22.0,6.666666666666667
5001989641,3.3,22.0,6.666666666666667
5001989642,3.3,22.0,6.666666666666667
5001989643,3.3,21.0,6.363636363636364
5001989644,3.3,21.0,6.363636363636364
5001989645,3.3,21.0,6.363636363636364
5001989646,3.3,107.0,32.42424242424243
5001989647,3.3,107.0,32.42424242424243
5001989648,3.3,107.0,32.42424242424243
5001989649,3.3,118.0,35.75757575757576
5001989650,3.3,118.0,35.75757575757576
5001989651,3.3,118.0,35.75757575757576
5001989652,3.3,17.0,5.151515151515151
5001989653,3.3,17.0,5.151515151515151
5001989654,3.3,17.0,5.151515151515151
5001989655,3.3,36.0,10.90909090909091
5001989658,3.3,36.0,10.90909090909091
5001989660,3.3,36.0,10.90909090909091
5001989661,3.3,22.0,6.666666666666667
5001989662,3.3,22.0,6.666666666666667
5001989663,3.3,22.0,6.666666666666667
5001989665,3.3,21.0,6.363636363636364
5001989666,3.3,21.0,6.363636363636364
5001989668,3.3,21.0,6.363636363636364
5001989669,3.3,107.0,32.42424242424243
5001989670,3.3,107.0,32.42424242424243
5001989671,3.3,107.0,32.42424242424243
5001989672,3.3,118.0,35.75757575757576
5001989673,3.3,118.0,35.75757575757576
5001989674,3.3,118.0,35.75757575757576
5001989677,3.3,17.0,5.151515151515151
5001989678,3.3,17.0,5.151515151515151
5001989679,3.3,17.0,5.151515151515151
5001989680,3.3,36.0,10.90909090909091
5001989681,3.3,36.0,10.90909090909091
5001989682,3.3,36.0,10.90909090909091
5001989683,3.3,22.0,6.666666666666667
5001989684,3.3,22.0,6.666666666666667
5001989685,3.3,22.0,6.666666666666667
5001989686,3.3,21.0,6.363636363636364
5001989687,3.3,21.0,6.363636363636364
5001989688,3.3,21.0,6.363636363636364
5001989689,3.3,107.0,32.42424242424243
5001989690,3.3,107.0,32.42424242424243
5001989691,3.3,107.0,32.42424242424243
5001989692,3.3,118.0,35.75757575757576
5001989693,3.3,118.0,35.75757575757576
5001989694,3.3,118.0,35.75757575757576
5001989695,3.3,17.0,5.151515151515151
5001989696,3.3,17.0,5.151515151515151
5001989697,3.3,17.0,5.151515151515151
5001989698,3.3,36.0,10.90909090909091
5001989699,3.3,36.0,10.90909090909091
5001989700,3.3,36.0,10.90909090909091
5001989701,3.3,22.0,6.666666666666667
5001989702,3.3,22.0,6.666666666666667
5001989703,3.3,22.0,6.666666666666667
5001989704,3.3,21.0,6.363636363636364
5001989705,3.3,21.0,6.363636363636364
5001989706,3.3,21.0,6.363636363636364
5001989707,3.3,107.0,32.42424242424243
5001989708,3.3,107.0,32.42424242424243
5001989709,3.3,107.0,32.42424242424243
5001989710,3.3,118.0,35.75757575757576
5001989711,3.3,118.0,35.75757575757576
5001989712,3.3,118.0,35.75757575757576
5001989713,3.3,17.0,5.151515151515151
5001989714,3.3,17.0,5.151515151515151
5001989715,3.3,17.0,5.151515151515151
5001989716,3.3,36.0,10.90909090909091
5001989717,3.3,36.0,10.90909090909091
5001989718,3.3,36.0,10.90909090909091
5001989719,3.3,22.0,6.666666666666667
5001989720,3.3,22.0,6.666666666666667
5001989723,3.3,22.0,6.666666666666667
5001989725,3.3,21.0,6.363636363636364
5001989727,3.3,21.0,6.363636363636364
5001989729,3.3,21.0,6.363636363636364
5001989730,3.3,107.0,32.42424242424243
5001989731,3.3,107.0,32.42424242424243
5001989733,3.3,107.0,32.42424242424243
5001989734,3.3,118.0,35.75757575757576
5001989735,3.3,118.0,35.75757575757576
5001989736,3.3,118.0,35.75757575757576
5001989737,3.3,17.0,5.151515151515151
5001989738,3.3,17.0,5.151515151515151
5001989739,3.3,17.0,5.151515151515151
5000042044,5.5,3.0,0.5454545454545454
5000042045,5.5,3.0,0.5454545454545454
5000042046,5.5,3.0,0.5454545454545454
5000042053,5.5,12.0,2.1818181818181817
5002445715,5.5,1.0,0.18181818181818182
5002445716,5.5,10.0,1.8181818181818181
5002445717,5.5,1.0,0.18181818181818182
5000042050,5.5,9.0,1.6363636363636365
5000042051,5.5,9.0,1.6363636363636365
5000042052,5.5,9.0,1.6363636363636365
5000042054,5.5,12.0,2.1818181818181817
5000042055,5.5,3.0,0.5454545454545454
5000042056,5.5,3.0,0.5454545454545454
5000042057,5.5,6.0,1.0909090909090908
5000042058,5.5,3.0,0.5454545454545454
5000042059,5.5,3.0,0.5454545454545454
5000042060,5.5,3.0,0.5454545454545454
5000042067,5.5,12.0,2.1818181818181817
5000042068,5.5,1.0,0.18181818181818182
5000042069,5.5,1.0,0.18181818181818182
5000042070,5.5,10.0,1.8181818181818181
5000042064,5.5,9.0,1.6363636363636365
5000042065,5.5,9.0,1.6363636363636365
5000042066,5.5,9.0,1.6363636363636365
5000042071,5.5,12.0,2.1818181818181817
5000042072,5.5,3.0,0.5454545454545454
5000042073,5.5,3.0,0.5454545454545454
5000042074,5.5,6.0,1.0909090909090908
5000012597,7.0,19.0,2.7142857142857144
5000012598,5.5,4.0,0.7272727272727273
5000012599,7.0,19.0,2.7142857142857144
5000012600,7.0,19.0,2.7142857142857144
5000012601,5.5,4.0,0.7272727272727273
5000012602,5.5,4.0,0.7272727272727273
5000012603,5.5,4.0,0.7272727272727273
5000012604,5.5,4.0,0.7272727272727273
5000012605,5.5,4.0,0.7272727272727273
5000012606,5.5,7.0,1.2727272727272727
5000012607,5.5,9.0,1.6363636363636365
5000012608,5.5,12.0,2.1818181818181817
5000012609,5.5,25.0,4.545454545454546
5000012610,5.5,25.0,4.545454545454546
5000012611,5.5,25.0,4.545454545454546
5000012612,5.5,8.0,1.4545454545454546
5000012613,5.5,8.0,1.4545454545454546
5000012614,5.5,8.0,1.4545454545454546
5000012733,5.5,25.0,4.545454545454546
5000012734,5.5,25.0,4.545454545454546
5000012735,5.5,25.0,4.545454545454546
5000012736,7.0,19.0,2.7142857142857144
5000012737,7.0,19.0,2.7142857142857144
5000012738,7.0,19.0,2.7142857142857144
5000012739,5.5,9.0,1.6363636363636365
5000012740,5.5,9.0,1.6363636363636365
5000012741,5.5,9.0,1.6363636363636365
5000012742,5.5,9.0,1.6363636363636365
5000012743,5.5,9.0,1.6363636363636365
5000012744,5.5,9.0,1.6363636363636365
5000012745,5.5,7.0,1.2727272727272727
5000012746,5.5,9.0,1.6363636363636365
5000012747,5.5,12.0,2.1818181818181817
5000012748,5.5,12.0,2.1818181818181817
5000012749,5.5,12.0,2.1818181818181817
5000012750,5.5,12.0,2.1818181818181817
5000042047,5.5,3.0,0.5454545454545454
5000042048,5.5,3.0,0.5454545454545454
5000042049,5.5,3.0,0.5454545454545454
5000042061,5.5,3.0,0.5454545454545454
5000042062,5.5,3.0,0.5454545454545454
5000042063,5.5,3.0,0.5454545454545454
5000005596,7.0,19.0,2.7142857142857144
5000012760,5.5,25.0,4.545454545454546
5000012761,5.5,25.0,4.545454545454546
5000012762,5.5,25.0,4.545454545454546
5000012763,7.0,19.0,2.7142857142857144
5000012764,7.0,19.0,2.7142857142857144
5000012765,5.5,4.0,0.7272727272727273
5000012766,5.5,4.0,0.7272727272727273
5000012767,5.5,4.0,0.7272727272727273
5000012768,5.5,4.0,0.7272727272727273
5000012769,5.5,4.0,0.7272727272727273
5000012770,5.5,4.0,0.7272727272727273
5000012771,5.5,7.0,1.2727272727272727
5000012772,5.5,9.0,1.6363636363636365
5000012773,5.5,12.0,2.1818181818181817
5000012879,5.5,25.0,4.545454545454546
5000012880,5.5,25.0,4.545454545454546
5000012881,5.5,25.0,4.545454545454546
5000012882,7.0,19.0,2.7142857142857144
5000012883,7.0,19.0,2.7142857142857144
5000012884,7.0,19.0,2.7142857142857144
5000012885,5.5,7.0,1.2727272727272727
5000012886,5.5,7.0,1.2727272727272727
5000012887,5.5,7.0,1.2727272727272727
5000012888,5.5,7.0,1.2727272727272727
5000012889,5.5,7.0,1.2727272727272727
5000012890,5.5,7.0,1.2727272727272727
5000012891,5.5,7.0,1.2727272727272727
5000012892,5.5,9.0,1.6363636363636365
5000012893,5.5,12.0,2.1818181818181817
5000041224,3.5,72.0,20.571428571428573
5000041370,3.5,8.0,2.2857142857142856
5000041371,3.5,5.5,1.5714285714285714
5000041372,3.5,11.5,3.2857142857142856
5000041382,3.5,73.0,20.857142857142858
5000041383,3.5,71.0,20.285714285714285
5000042033,3.5,6.5,1.8571428571428572
5000042034,3.5,6.5,1.8571428571428572
5000042035,3.5,6.5,1.8571428571428572
5000041362,3.5,7.5,2.142857142857143
5000041374,3.5,142.0,40.57142857142857
5000041375,3.5,144.0,41.142857142857146
5000041377,3.5,16.0,4.571428571428571
5000041379,3.5,8.0,2.2857142857142856
5000042015,3.5,7.5,2.142857142857143
5000042038,3.5,146.0,41.714285714285715
5000041373,3.5,81.0,23.142857142857142
5000041376,3.5,7.5,2.142857142857143
5000041378,3.5,16.0,4.571428571428571
